
Test Phase Average Duration: 0:05:39 (HH:MM:SS)

Class report: 
              precision    recall  f1-score      support
tinba           382       0           0         113           0      88   
vawtrak_v1       67       0           0           0           0       6   
vawtrak_v2        0       0           0           0           0       0   
vawtrak_v3        0       0           0           0           0       0   
zeus-newgoz       0       0           0           0           0       0   
legit             2      82           0           0           0       1   

              nymaim  padcrypt  pizd  proslikefan  pushdo  pykspa  \
alureon            0         3     0            0      46       7   
banjori            0         0     0            0       0       0   
bedep              0         5     0            0      31       2   
ccleaner           0        11     0            0       0       0   
chinad             0         1     0            0       0       0   
corebot            0         0     0            0       0       0   
cryptolocker       3         7    13            3      27      59   
dircrypt           0         7     0            0      55       4   
dyre               0         0     0            0       0       0   
fobber_v1          1         4     1            0       0       0   
fobber_v2          1         2     0            1      67       2   
gozi_gpl          51         0     0            0       0       0   
gozi_luther        2         3     0            0      38       0   
gozi_nasa          4         0     0            0      13       0   
gozi_rfc4343       4         3     0            0      10       0   
kraken_v1          4         1     0            3       1      11   
kraken_v2          2         0     0          412      23      26   
locky             18         4     0          647      41      99   
matsnu             1         0     0            0       2       0   
murofet_v1         0         0     0            0       0       0   
murofet_v2         3         0     0            2       2       0   
murofet_v3         0         0     0            0       0       0   
necurs             3         2     3          857      44      33   
nymaim          3768         0   105           35      22       2   
padcrypt           1      4643     0            0       2       0   
pizd               0         0  3490            0       0       1   
proslikefan        3         0     2         2631       2     368   
pushdo            16         0     0            0    3704       2   
pykspa             4         2     4          571      41     831   
pykspa_noise       4         0    12          539      37     900   
qadars             0         0     5            0       6      16   
qakbot             3         8     0          193      10     137   
ramdo              2         2     0            0       2       0   
ramnit             0         7     0            3      62      10   
ranbyus_v1        25         5     3            0      27       4   
ranbyus_v2         5        10     2            0       5       0   
rovnix            21         0     1            0       0       0   
shiotob            1         0     5            3      12      27   
simda             30         0     0          708      41      55   
sisron             0         0     0            0       0      69   
suppobox_1         0         0  1716            0       0       0   
suppobox_2         0         0   386           21       0       0   
suppobox_3         4         0     3            0       0       0   
symmi              0         0     0            0       0       0   
tempedreve         7         0     1          155      16     536   
tinba              7        11     6           14      56      46   
vawtrak_v1         1         0     0           14       0       0   
vawtrak_v2         0         0     0            0      18       0   
vawtrak_v3         0         0     0            0      29       0   
